,Unnamed: 0,Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,diameter_nm,abs_nm,emission_nm
61,61,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,-0.174592036,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.15,555.0,570
62,62,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,-0.112147975,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.38,565.0,575
63,63,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,0.13762827,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.57,580.0,580
64,64,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.236973653,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.3,410.0,435
65,65,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.23686958,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.7,435.0,455
66,66,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.236682248,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.1,470.0,480
67,67,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.236349213,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.5,490.0,515
68,68,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.235995363,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.8,508.0,525
69,69,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.235641513,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.9,512.0,528
70,70,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.235308478,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.1,520.0,530
71,71,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.234954629,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.3,523.0,535
72,72,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.230791691,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.8,535.0,550
73,73,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.226628754,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.2,560.0,570
74,74,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.21622141,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.6,575.0,580
75,75,0.791772243,-0.23188046,-0.428320051,-0.301605446,-0.49946256,-0.45273826,0.197989738,-0.302794283,-0.153777349,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.7,587.0,595
76,76,-0.917122291,-0.314640996,-0.529021364,-0.159508101,-0.49946256,-0.415510372,0.153403655,-0.302794283,-0.230791691,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2.1208,475.0,507
